2016/11/22 17:35:40 [error] 6#6: *70 open() "/home/s/web/com/steven-luong/mysqldumper" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mysqldumper HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *71 open() "/home/s/web/com/steven-luong/MySQLDumper" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /MySQLDumper HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *72 open() "/home/s/web/com/steven-luong/mysql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mysql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *73 open() "/home/s/web/com/steven-luong/sql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 6#6: *74 open() "/home/s/web/com/steven-luong/cgi-bin/php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /cgi-bin/php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:40 [error] 7#7: *75 open() "/home/s/web/com/steven-luong/cgi-bin/php5" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /cgi-bin/php5 HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *76 open() "/home/s/web/com/steven-luong/phpmyadmin" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /phpmyadmin HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *77 open() "/home/s/web/com/steven-luong/phpMyAdmin" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /phpMyAdmin HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *78 open() "/home/s/web/com/steven-luong/mysql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /mysql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *79 open() "/home/s/web/com/steven-luong/sql" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sql HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *80 open() "/home/s/web/com/steven-luong/myadmin" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /myadmin HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *81 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 149.202.72.240, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *82 open() "/home/s/web/com/steven-luong/sqlite/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /sqlite/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 7#7: *83 open() "/home/s/web/com/steven-luong/SQLite/SQLiteManager-1.2.4/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQLite/SQLiteManager-1.2.4/main.php HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:41 [error] 6#6: *84 open() "/home/s/web/com/steven-luong/SQLiteManager-1.2.4/main.php" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /SQLiteManager-1.2.4/main.php HTTP/1.1", host: "91.121.13.22:8888"
